Id,KeyValue,Priority,Status,Tags,Resource,Attempt,Loaded,LastUpdated,Deferred,Locked,Completed,Worktime,Exception,ExceptionReason
21ff9665-7fdc-4c1b-9cfa-049897a63deb,bd77a8fd-c6df-434b-9518-7adde41adbb0,1,5 - Generate Closing Disclosure,Conventional,P-AZC-ElroyCD14,1,7/26/2024 7:19:46 PM,7/26/2024 7:19:46 PM,,7/26/2024 7:24:17 PM,,0,,
1192edd7-ac0f-4f0f-82f1-9a2c944ef1e7,d31e5d99-3c8b-4408-87c5-90ce32876c5c,1,Complete,Conventional;Redisclosure: 1;Run UCD,P-AZC-ElroyCD14,1,7/26/2024 7:19:46 PM,7/26/2024 7:24:17 PM,,,7/26/2024 7:24:17 PM,271,,
364ea14e-e509-44c4-a27e-3e95050f9a53,b5652a08-c025-4faa-897d-f47fccb34a78,1,5 - Generate Closing Disclosure,Conventional,P-AZC-ElroyCD05,1,7/26/2024 7:19:46 PM,7/26/2024 7:19:46 PM,,7/26/2024 7:24:05 PM,,0,,
927da11a-525d-4018-9011-7d626f26e1fe,964d9e77-c3f7-4984-a28e-4d33dc6be1bd,3,Complete,Conventional;Redisclosure: 0;Run UCD,P-AZC-ElroyCD05,1,7/26/2024 7:11:45 PM,7/26/2024 7:24:05 PM,,,7/26/2024 7:24:05 PM,686,,
205e6476-c2cc-4935-b872-6244e62d718c,281045b7-a27d-47ee-b598-2cf566e18a0c,1,2 - Mark as Final CD,Conventional;Redisclosure: 1,P-AZC-ElroyCD15,1,7/26/2024 7:19:46 PM,7/26/2024 7:19:46 PM,,7/26/2024 7:23:44 PM,,0,,
7efc6df2-6827-4847-97ad-f5619414cec4,378cf772-442f-426a-a2e8-9a6666c74a3a,5,Complete,Conventional;Redisclosure: 0;Run UCD,P-AZC-ElroyCD15,1,7/26/2024 7:11:45 PM,7/26/2024 7:23:39 PM,,,7/26/2024 7:23:39 PM,648,,
54a4a0f0-5379-4943-9e43-cdf9ea7dad1a,9b1a2a59-d2ed-4909-818c-80d1b4eadf7b,1,5 - Generate Closing Disclosure,Conventional,P-AZC-ElroyCD09,1,7/26/2024 7:19:46 PM,7/26/2024 7:19:46 PM,,7/26/2024 7:23:12 PM,,0,,
b9e5bc7f-e79f-4385-8bb4-0b7e6654ecbe,2f1c2010-c5ca-47e2-a440-7546ce0de461,1,Complete,Conventional;Redisclosure: 0;Run UCD,P-AZC-ElroyCD09,1,7/26/2024 7:11:45 PM,7/26/2024 7:23:12 PM,,,7/26/2024 7:23:12 PM,687,,
e8219fc8-7509-4030-bcaa-f48cb5e95c92,5d6cc7a2-f009-47f4-8465-2000749eb68e,1,5 - Generate Closing Disclosure,,P-AZC-ElroyCD07,1,7/26/2024 7:19:46 PM,7/26/2024 7:19:46 PM,,7/26/2024 7:21:40 PM,,0,,
cb21f970-73e5-4c93-8516-b0d467b20c2b,a440b8c6-3132-4f52-a6f0-466c62b5f364,5,Complete,Conventional;Redisclosure: 0;Run UCD,P-AZC-ElroyCD07,1,7/26/2024 7:00:26 PM,7/26/2024 7:21:40 PM,,,7/26/2024 7:21:40 PM,680,,
ca93b64e-fdf9-432f-9fe8-ddd4abb91b81,3ddae17f-00b4-42a2-878f-3e4ce9ec73c6,1,2 - Mark as Final CD,Conventional;Redisclosure: 1,P-AZC-ElroyCD06,1,7/26/2024 7:00:26 PM,7/26/2024 7:00:26 PM,7/26/2024 7:20:20 PM,7/26/2024 7:21:35 PM,,10,,
af495a5f-cff3-4333-b582-06b54bef05bb,1c6efd24-825e-4453-a6dd-4a49916c79c5,5,Complete,Conventional;Redisclosure: 0;Run UCD,P-AZC-ElroyCD06,2,7/26/2024 6:39:17 PM,7/26/2024 7:21:35 PM,,,7/26/2024 7:21:35 PM,1805,,
8a45c05a-654d-4018-a306-bcd56726fa71,70414cbc-7318-41b3-8f00-ac22d71aac7e,1,5 - Generate Closing Disclosure,,P-AZC-ElroyCD12,1,7/26/2024 7:00:26 PM,7/26/2024 7:00:26 PM,7/26/2024 7:20:25 PM,7/26/2024 7:20:40 PM,,15,,
fca519a2-ab2b-44df-ac78-f715780b0c27,97f0bfed-f413-4b5d-aba7-9d49d6303617,3,,,P-AZC-ElroyCD14,1,7/26/2024 7:19:46 PM,7/26/2024 7:19:46 PM,,,,0,,
7d52eec4-c086-4222-be0d-72fa92eb63f7,6f2b9644-4392-47fd-b8c4-c49b666cb591,3,,,P-AZC-ElroyCD14,1,7/26/2024 7:19:46 PM,7/26/2024 7:19:46 PM,,,,0,,
a2de6dcd-9406-498a-9a9c-56d1194783e8,1e9601c2-c360-4e31-aa66-b647277497fc,3,Complete,Conventional;Redisclosure: 0;Run UCD,P-AZC-ElroyCD12,1,7/26/2024 6:50:44 PM,7/26/2024 7:17:33 PM,7/26/2024 7:05:21 PM,,7/26/2024 7:17:33 PM,688,,
6e51faad-2ccf-4d77-8dd9-7e7e3f6678a9,359c006d-e51e-4a20-bdea-7b808296bdbc,5,2 - Mark as Final CD,Conventional;Redisclosure: 0,P-AZC-ElroyCD10,1,7/26/2024 7:11:45 PM,7/26/2024 7:11:45 PM,,7/26/2024 7:15:57 PM,,0,,
a67257e1-9ae9-4539-9b71-d183e9bcf4ce,79ae708f-58d2-47b6-97aa-77ff1ed0ccd4,5,Complete,Conventional;Redisclosure: 0;Run UCD,P-AZC-ElroyCD10,1,7/26/2024 6:50:44 PM,7/26/2024 7:15:57 PM,,,7/26/2024 7:15:57 PM,693,,
82c8e61c-6f72-47c9-a987-da46f1297c6a,f2598085-9f2f-42a9-af35-d0a05bd8288e,5,2 - Mark as Final CD,Conventional;Redisclosure: 0,P-AZC-ElroyCD08,1,7/26/2024 6:39:16 PM,7/26/2024 6:39:16 PM,7/26/2024 7:15:17 PM,7/26/2024 7:15:25 PM,,18,,
6df4222d-ae86-40eb-8f02-53360afb18aa,f57ea076-2ed8-46aa-ae3a-319aee2e7bf1,4,5 - Generate Closing Disclosure,[Lennar Mortgage - Closing Disclosures Bot] :: [Disclosure Tracking] = [API Disclosure Tracking call failed];Redisclosure: 1;System Exception,P-AZC-ElroyCD11,2,7/26/2024 6:18:23 PM,7/26/2024 6:18:23 PM,7/26/2024 7:15:20 PM,7/26/2024 7:15:20 PM,,821,,
7469641a-2c4e-497b-858c-230f4ba31bdf,fafff7f0-84d7-476a-998d-ae92e695ba3a,4,Complete,Conventional;Redisclosure: 0;Run UCD,P-AZC-ElroyCD11,1,7/26/2024 6:50:44 PM,7/26/2024 7:15:20 PM,,,7/26/2024 7:15:20 PM,757,,
34b20e4c-d432-4996-9e37-13a16de764a2,5671f9d8-f2f9-4025-a83e-733dbe59cc78,5,Complete,Conventional;Redisclosure: 0;Run UCD,P-AZC-ElroyCD08,1,7/26/2024 6:50:44 PM,7/26/2024 7:15:14 PM,,,7/26/2024 7:15:14 PM,664,,
b3b1cc0e-52f4-4a8f-90d4-314fa10dc5e9,802f3f2d-5574-4d39-8672-f34dadda27e3,1,Complete,Conventional;Redisclosure: 1;Run UCD,P-AZC-ElroyCD15,1,7/26/2024 7:00:27 PM,7/26/2024 7:12:47 PM,,,7/26/2024 7:12:47 PM,740,,
0bda5c35-bcd8-4234-9377-a622f0d7d5cc,8dab33f8-fc47-4cf9-8913-696cae1b18ed,1,5 - Generate Closing Disclosure,Conventional,P-AZC-ElroyCD13,1,7/26/2024 7:11:45 PM,7/26/2024 7:11:45 PM,,7/26/2024 7:11:48 PM,,0,,
c1d94b1b-0d5b-4f16-b359-0caa217c6c5e,623fdd05-a989-415c-b7c2-1e585284ac03,1,Loan locked by user,Conventional,P-AZC-ElroyCD15,1,7/26/2024 7:11:45 PM,7/26/2024 7:11:45 PM,7/26/2024 7:28:44 PM,,,13,,
3444aa92-a04e-404d-bed9-ce778e45221f,5370b55d-ea05-43ec-9769-a91d5d1571da,4,Complete,"Conventional;Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load;Redisclosure: 1;Run UCD;System Exception",P-AZC-ElroyCD05,2,7/26/2024 6:10:07 PM,7/26/2024 7:11:38 PM,7/26/2024 6:55:38 PM,,7/26/2024 7:11:38 PM,1617,,
5eecc3c1-4a43-43c6-bba5-4112e9ff482d,b41d0653-99c6-4352-a0c5-5fb7298582a7,5,Complete,Redisclosure: 0;System Exception;Timout waiting for loan to close,P-AZC-ElroyCD13,2,7/26/2024 6:39:16 PM,7/26/2024 7:10:48 PM,7/26/2024 7:07:33 PM,,7/26/2024 7:10:48 PM,1375,,
41715fcb-2040-4060-8b82-2b43d52950f0,df47da31-1813-41e0-9709-d5e1e5b515de,3,Complete,Conventional;Redisclosure: 0;Run UCD,P-AZC-ElroyCD09,1,7/26/2024 6:39:16 PM,7/26/2024 7:10:42 PM,7/26/2024 6:53:11 PM,,7/26/2024 7:10:42 PM,803,,
6df4222d-ae86-40eb-8f02-53360afb18aa,f57ea076-2ed8-46aa-ae3a-319aee2e7bf1,4,Exception,[Lennar Mortgage - Closing Disclosures Bot] :: [Disclosure Tracking] = [API Disclosure Tracking call failed];Exception: [Lennar Mortgage - Closing Disclosures Bot] :: [Disclosure Tracking] = [API Disclosure Tracking call failed];Redisclosure: 1;System Exception,P-AZC-ElroyCD07,1,7/26/2024 6:18:23 PM,7/26/2024 7:10:20 PM,7/26/2024 6:53:20 PM,,,821,7/26/2024 7:10:20 PM,[Lennar Mortgage - Closing Disclosures Bot] :: [Disclosure Tracking] = [API Disclosure Tracking call failed]
f13afb19-4fbf-4691-aa07-a84e3eee9c79,eb438f9a-0a13-41be-98e8-9c5e01e02574,3,Complete,Redisclosure: 1,P-AZC-ElroyCD06,1,7/26/2024 6:50:44 PM,7/26/2024 7:10:08 PM,,,7/26/2024 7:10:08 PM,599,,
af495a5f-cff3-4333-b582-06b54bef05bb,1c6efd24-825e-4453-a6dd-4a49916c79c5,5,5 - Generate Closing Disclosure,Conventional;Exception: Automatically set exception at CleanUp,P-AZC-ElroyCD14,1,7/26/2024 6:39:17 PM,7/26/2024 7:09:25 PM,,,,1127,7/26/2024 7:09:25 PM,Automatically set exception at CleanUp
43f1cfe6-8896-4e7d-a198-5f370911d855,611292d1-4f2c-4554-a2f6-597bef1ea0f1,3,Complete,Redisclosure: 2,P-AZC-ElroyCD13,1,7/26/2024 6:29:25 PM,7/26/2024 7:08:01 PM,7/26/2024 6:53:06 PM,,7/26/2024 7:08:01 PM,701,,
3728011e-802c-4495-b2ea-5caf65a178a4,17637a1c-e4db-49cd-b980-bcba4a00f49c,5,Complete,Redisclosure: 0,P-AZC-ElroyCD12,1,7/26/2024 6:39:16 PM,7/26/2024 7:06:09 PM,7/26/2024 6:54:13 PM,,7/26/2024 7:06:09 PM,689,,
fd20a991-81b6-4494-9b7e-6a7442ef03eb,a1714798-524e-49e9-8bb9-e763e9278571,3,Complete,Redisclosure: 1,P-AZC-ElroyCD10,1,7/26/2024 7:00:26 PM,7/26/2024 7:04:24 PM,,,7/26/2024 7:04:24 PM,157,,
5b420daf-f3dd-4271-92a4-02a6928db1d8,d0dfde23-21dc-4b1d-8a75-0693b1738dda,3,Exception,[Lennar Mortgage - Closing Disclosure Bot] :: [Order Docs - RegZ CD] = [1st Order Docs Button not Enabled];Business Exception;Exception: [Lennar Mortgage - Closing Disclosure Bot] :: [Order Docs - RegZ CD] = [1st Order Docs Button not Enabled],P-AZC-ElroyCD08,1,7/26/2024 6:39:16 PM,7/26/2024 7:04:05 PM,7/26/2024 6:53:15 PM,,,372,7/26/2024 7:04:05 PM,[Lennar Mortgage - Closing Disclosure Bot] :: [Order Docs - RegZ CD] = [1st Order Docs Button not Enabled]
6a8a361d-927c-42ef-8ad7-d9fad5428a9b,9631e3d9-0f98-4c05-98c4-5554b7d583f9,1,Complete,Conventional;Redisclosure: 0;Run UCD,P-AZC-ElroyCD12,1,7/26/2024 6:50:44 PM,7/26/2024 7:03:37 PM,,,7/26/2024 7:03:37 PM,689,,
5eecc3c1-4a43-43c6-bba5-4112e9ff482d,b41d0653-99c6-4352-a0c5-5fb7298582a7,5,Exception,Exception: Timout waiting for loan to close;Redisclosure: 0;System Exception;Timout waiting for loan to close,P-AZC-ElroyCD11,1,7/26/2024 6:39:16 PM,7/26/2024 7:02:33 PM,,,,1217,7/26/2024 7:02:33 PM,Timout waiting for loan to close
b053ba0b-d548-4970-beaa-113326fe20ae,5d6cc7a2-f009-47f4-8465-2000749eb68e,2,Exception,Business Exception;Exception: Request Cancelled;Request Cancelled,P-AZC-ElroyCD10,1,7/26/2024 7:00:26 PM,7/26/2024 7:01:47 PM,,,,5,7/26/2024 7:01:47 PM,Request Cancelled
eb701b66-31c7-4b7d-a415-2d60ad479751,c6a20098-eeef-4286-8db9-8e28ce1bcf33,1,Complete,Redisclosure: 1,P-AZC-ElroyCD10,1,7/26/2024 6:39:17 PM,7/26/2024 7:01:42 PM,7/26/2024 6:58:57 PM,,7/26/2024 7:01:42 PM,174,,
7b04085e-4123-492d-b1d5-8aed7bf642e8,f0543f2f-b0d5-4b99-b4a5-15f044840856,5,Complete,Conventional;Redisclosure: 0;Run UCD,P-AZC-ElroyCD05,1,7/26/2024 6:39:16 PM,7/26/2024 7:00:20 PM,,,7/26/2024 7:00:20 PM,663,,
d7d15397-0079-4cd4-8588-7eeba6fef8ae,b7b56049-ea07-4e21-b200-19e30c3c6442,3,Complete,Redisclosure: 2,P-AZC-ElroyCD07,1,7/26/2024 6:39:16 PM,7/26/2024 7:00:17 PM,7/26/2024 6:53:11 PM,,7/26/2024 7:00:17 PM,166,,
fc98af13-0ff9-4839-b798-6200b46632b8,58de655d-2a02-47d6-81f6-9acc83410d89,1,Complete,Conventional;Redisclosure: 0;Run UCD,P-AZC-ElroyCD06,2,7/26/2024 6:29:25 PM,7/26/2024 7:00:09 PM,,,7/26/2024 7:00:09 PM,1840,,
d85164bb-ab4c-4873-ad92-13b76d0bb78f,4646f561-e252-4f13-9ee9-fbb531ff4a3c,3,Complete,[Encompass Dev Connect API] :: [Update Field Values] = [Status Code Not Approved: 409 The remote server returned an error: (409) Conflict.];Conventional;Redisclosure: 0;Run UCD;System Exception,P-AZC-ElroyCD10,2,7/26/2024 6:17:16 PM,7/26/2024 6:59:01 PM,7/26/2024 6:53:01 PM,,7/26/2024 6:59:01 PM,970,,
e32297af-59c9-4f64-bce7-cdcad79a9dbf,33127226-5ba5-4951-b300-30141241e034,1,Complete,Conventional;Redisclosure: 1;Run UCD,P-AZC-ElroyCD09,1,7/26/2024 6:39:16 PM,7/26/2024 6:57:48 PM,7/26/2024 6:52:52 PM,,7/26/2024 6:57:48 PM,247,,
6b159263-9975-4c9e-8555-b03ed705bba2,b6eac5e9-1138-4add-9ec3-909399fa62ca,5,Complete,"Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load;Redisclosure: 0;System Exception",P-AZC-ElroyCD07,2,7/26/2024 6:20:41 PM,7/26/2024 6:57:41 PM,7/26/2024 6:45:46 PM,,7/26/2024 6:57:41 PM,1445,,
8ba128aa-0854-4869-91ea-652b4d637a88,8abe30d3-fe2f-4b93-ae67-ba5b33d8bdd2,1,Complete,Conventional;Redisclosure: 2;Run UCD,P-AZC-ElroyCD13,1,7/26/2024 6:50:44 PM,7/26/2024 6:56:34 PM,,,7/26/2024 6:56:34 PM,258,,
42743193-a8df-434b-a68b-b6a2de9fa5ff,bf1f1658-3a67-40a9-b18c-f6d3a2d11e84,1,Complete,Redisclosure: 1,P-AZC-ElroyCD10,1,7/26/2024 6:50:44 PM,7/26/2024 6:53:52 PM,,,7/26/2024 6:53:52 PM,188,,
f14923c8-0bf3-4cf3-beb1-19a8fbb4aca5,9a9513a9-ac4a-4c2a-8d1b-0ef88ef081e4,5,Complete,Conventional;Redisclosure: 0;Run UCD,P-AZC-ElroyCD09,1,7/26/2024 6:29:25 PM,7/26/2024 6:53:51 PM,,,7/26/2024 6:53:51 PM,1054,,
ac0df974-3154-48f1-880b-034741280b74,c4df1a30-8b00-4306-8ce0-5e1a42b61b52,5,Complete,Conventional;Redisclosure: 0;Run UCD,P-AZC-ElroyCD13,1,7/26/2024 6:39:16 PM,7/26/2024 6:52:16 PM,,,7/26/2024 6:52:16 PM,685,,
68246953-59bc-4d80-b17d-abc69c480d05,96bf7927-2132-49cc-b767-c3d5013bfd8b,1,Complete,Conventional;Redisclosure: 0;Run UCD,P-AZC-ElroyCD12,2,7/26/2024 5:54:45 PM,7/26/2024 6:52:08 PM,7/26/2024 6:21:09 PM,,7/26/2024 6:52:08 PM,1858,,
3444aa92-a04e-404d-bed9-ce778e45221f,5370b55d-ea05-43ec-9769-a91d5d1571da,4,Exception,"Conventional;Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load;Exception: Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load;System Exception",P-AZC-ElroyCD14,1,7/26/2024 6:10:07 PM,7/26/2024 6:50:38 PM,7/26/2024 6:33:22 PM,,,940,7/26/2024 6:50:38 PM,"Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load"
3be8ed9e-ed28-49b8-8742-7d0be4ca2f3b,735d9ac3-8b31-4997-b810-31a0d0c0b316,3,Complete,Redisclosure: 0,P-AZC-ElroyCD07,1,7/26/2024 5:51:25 PM,7/26/2024 6:48:30 PM,7/26/2024 6:43:53 PM,,7/26/2024 6:48:30 PM,972,,
fc98af13-0ff9-4839-b798-6200b46632b8,58de655d-2a02-47d6-81f6-9acc83410d89,1,5 - Generate Closing Disclosure,Conventional;Exception: Automatically set exception at CleanUp,P-AZC-ElroyCD15,1,7/26/2024 6:29:25 PM,7/26/2024 6:48:18 PM,,,,1131,7/26/2024 6:48:18 PM,Automatically set exception at CleanUp
a9b7c5e4-65c3-48f7-bc0c-b96856f6c665,4a35c091-5a76-4fa7-be0d-b8cb0f645e10,5,Complete,Conventional;Redisclosure: 0;Run UCD,P-AZC-ElroyCD08,1,7/26/2024 6:29:25 PM,7/26/2024 6:48:06 PM,,,7/26/2024 6:48:06 PM,650,,
b88058ed-a21b-4f85-a9a9-640dcadf5041,443bfc3a-291a-4042-9cc0-88124dcc37b9,4,Complete,Conventional;Redisclosure: 0;Run UCD,P-AZC-ElroyCD06,1,7/26/2024 5:44:07 PM,7/26/2024 6:47:48 PM,7/26/2024 6:26:49 PM,,7/26/2024 6:47:48 PM,1211,,
e569b414-f3cc-4826-9803-ed3819006430,8efc8e4b-0baa-439e-b6b8-064512ee7810,3,Complete,Conventional;Redisclosure: 1;Run UCD,P-AZC-ElroyCD07,1,7/26/2024 6:29:25 PM,7/26/2024 6:44:47 PM,,,7/26/2024 6:44:47 PM,661,,
dd14a181-0578-4f01-a1af-4157e9dcb41f,5afeeec1-c884-402c-a9bc-065edab519f1,1,Complete,Redisclosure: 1,P-AZC-ElroyCD11,1,7/26/2024 6:39:16 PM,7/26/2024 6:42:11 PM,,,7/26/2024 6:42:11 PM,174,,
193b33c6-c5a0-4ff1-87f2-1eadc41d0912,10b5e858-089f-4edc-b552-0fa9247514b4,1,Complete,Redisclosure: 0,P-AZC-ElroyCD13,1,7/26/2024 6:29:25 PM,7/26/2024 6:40:41 PM,,,7/26/2024 6:40:41 PM,640,,
68246953-59bc-4d80-b17d-abc69c480d05,96bf7927-2132-49cc-b767-c3d5013bfd8b,1,5 - Generate Closing Disclosure,Conventional;Exception: Automatically set exception at CleanUp,P-AZC-ElroyCD10,1,7/26/2024 5:54:45 PM,7/26/2024 6:40:19 PM,7/26/2024 6:21:09 PM,,,1156,7/26/2024 6:40:19 PM,Automatically set exception at CleanUp
db733a8f-f564-4c95-b433-3b9475e2a60f,25a9be28-399d-4894-b107-0ab589650605,1,Complete,Redisclosure: 2,P-AZC-ElroyCD05,1,7/26/2024 6:29:25 PM,7/26/2024 6:39:48 PM,,,7/26/2024 6:39:48 PM,623,,
f6995499-ed55-45f6-9c4e-a436ee313aa0,f84c2d53-a64c-45d0-97bf-21314f66958e,3,Loan locked by user,Redisclosure: 0,P-AZC-ElroyCD08,1,7/26/2024 6:39:16 PM,7/26/2024 6:39:16 PM,7/26/2024 7:20:19 PM,,,609,,
94a7a995-cbdc-42bd-99a0-791e35bedf17,ef97b271-abbf-46f0-9ed7-1df8b7592b04,5,Complete,Conventional;Redisclosure: 0;Run UCD,P-AZC-ElroyCD11,1,7/26/2024 6:25:24 PM,7/26/2024 6:38:13 PM,,,7/26/2024 6:38:13 PM,769,,
152017ca-fcbe-4116-a74f-9197b90195f5,768cbb2f-7db3-479b-a056-3dc81317e408,3,Complete,Conventional;Redisclosure: 1;Run UCD,P-AZC-ElroyCD12,1,7/26/2024 6:13:42 PM,7/26/2024 6:37:49 PM,7/26/2024 6:30:16 PM,,7/26/2024 6:37:49 PM,263,,
9eeae2c5-11d8-427a-9334-030ce7039fb6,4504cc94-db80-444e-83f4-148b58efc299,1,Complete,Conventional;Failed to perform step 1 in Read Stage 'Is Forms Selected?' on page 'Click - eFolder' - Unable to match any Active Accessibility elements to the supplied query terms;Redisclosure: 0;Redisclosure: 1;Run UCD;System Exception,P-AZC-ElroyCD08,2,7/26/2024 6:06:33 PM,7/26/2024 6:37:16 PM,7/26/2024 6:33:21 PM,,7/26/2024 6:37:16 PM,1236,,
b8759028-8f27-4c6c-bc3c-466897dea2b4,655c5fa9-7876-431a-b865-1b9e312c4d30,5,Complete,Redisclosure: 0,P-AZC-ElroyCD09,1,7/26/2024 6:25:24 PM,7/26/2024 6:36:12 PM,,,7/26/2024 6:36:12 PM,595,,
0ca7f1dc-9767-4659-b211-2c02bd19125a,f84c2d53-a64c-45d0-97bf-21314f66958e,3,Exception,[Encompass Dev Connect API] :: [Update Field Values] = [Status Code Not Approved: 409 The remote server returned an error: (409) Conflict.];Exception: [Encompass Dev Connect API] :: [Update Field Values] = [Status Code Not Approved: 409 The remote server returned an error: (409) Conflict.];System Exception,P-AZC-ElroyCD14,3,7/26/2024 6:23:53 PM,7/26/2024 6:35:38 PM,7/26/2024 6:34:27 PM,,,20,7/26/2024 6:35:38 PM,[Encompass Dev Connect API] :: [Update Field Values] = [Status Code Not Approved: 409 The remote server returned an error: (409) Conflict.]
6b159263-9975-4c9e-8555-b03ed705bba2,b6eac5e9-1138-4add-9ec3-909399fa62ca,5,Exception,"Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load;Exception: Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load;System Exception",P-AZC-ElroyCD14,1,7/26/2024 6:20:41 PM,7/26/2024 6:35:31 PM,,,,890,7/26/2024 6:35:31 PM,"Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load"
d85164bb-ab4c-4873-ad92-13b76d0bb78f,4646f561-e252-4f13-9ee9-fbb531ff4a3c,3,Exception,[Encompass Dev Connect API] :: [Update Field Values] = [Status Code Not Approved: 409 The remote server returned an error: (409) Conflict.];Conventional;Exception: [Encompass Dev Connect API] :: [Update Field Values] = [Status Code Not Approved: 409 The remote server returned an error: (409) Conflict.];Redisclosure: 0;System Exception,P-AZC-ElroyCD07,1,7/26/2024 6:17:16 PM,7/26/2024 6:33:42 PM,7/26/2024 6:22:20 PM,,,658,7/26/2024 6:33:42 PM,[Encompass Dev Connect API] :: [Update Field Values] = [Status Code Not Approved: 409 The remote server returned an error: (409) Conflict.]
d3515ef5-631f-4070-b3cf-639468b2e926,67160290-4993-4713-96ed-d8ca01c1a7e4,5,Complete,Conventional;Redisclosure: 0;Run UCD,P-AZC-ElroyCD12,1,7/26/2024 6:22:54 PM,7/26/2024 6:33:41 PM,,,7/26/2024 6:33:41 PM,647,,
528c760a-5e5a-4e1f-a823-7ecf4d93f3ea,767f7513-771e-4641-ab7b-6d7b01b48a10,1,Complete,Conventional;Redisclosure: 1;Run UCD,P-AZC-ElroyCD08,1,7/26/2024 6:29:25 PM,7/26/2024 6:33:17 PM,,,7/26/2024 6:33:17 PM,232,,
0ca7f1dc-9767-4659-b211-2c02bd19125a,f84c2d53-a64c-45d0-97bf-21314f66958e,3,Exception,[Encompass Dev Connect API] :: [Update Field Values] = [Status Code Not Approved: 409 The remote server returned an error: (409) Conflict.];Exception: [Encompass Dev Connect API] :: [Update Field Values] = [Status Code Not Approved: 409 The remote server returned an error: (409) Conflict.];System Exception,P-AZC-ElroyCD15,2,7/26/2024 6:23:53 PM,7/26/2024 6:29:27 PM,7/26/2024 6:29:06 PM,,,13,7/26/2024 6:29:27 PM,[Encompass Dev Connect API] :: [Update Field Values] = [Status Code Not Approved: 409 The remote server returned an error: (409) Conflict.]
c66af814-2b60-4379-929e-7e40f9364a95,7780819d-4ded-4ffc-901f-42ee38a25e3f,1,Complete,Conventional;Redisclosure: 1;Run UCD,P-AZC-ElroyCD13,1,7/26/2024 6:03:10 PM,7/26/2024 6:29:01 PM,7/26/2024 6:24:41 PM,,7/26/2024 6:29:01 PM,267,,
9eeae2c5-11d8-427a-9334-030ce7039fb6,4504cc94-db80-444e-83f4-148b58efc299,1,Exception,Conventional;Exception: Failed to perform step 1 in Read Stage 'Is Forms Selected?' on page 'Click - eFolder' - Unable to match any Active Accessibility elements to the supplied query terms;Failed to perform step 1 in Read Stage 'Is Forms Selected?' on page 'Click - eFolder' - Unable to match any Active Accessibility elements to the supplied query terms;Redisclosure: 0;Redisclosure: 1;Run UCD;System Exception,P-AZC-ElroyCD15,1,7/26/2024 6:06:33 PM,7/26/2024 6:28:21 PM,7/26/2024 6:22:40 PM,,,1002,7/26/2024 6:28:21 PM,Failed to perform step 1 in Read Stage 'Is Forms Selected?' on page 'Click - eFolder' - Unable to match any Active Accessibility elements to the supplied query terms
94c4e168-0d87-409f-b6e4-ac076dd531d6,b78c8a8c-002a-448f-9f94-c28e44cc6d47,3,Complete,Redisclosure: 0,P-AZC-ElroyCD05,1,7/26/2024 6:05:32 PM,7/26/2024 6:28:20 PM,7/26/2024 6:10:37 PM,,7/26/2024 6:28:20 PM,1023,,
c74a7fb3-3970-40e1-aaf0-2affb9594ed2,686b0355-8a10-4ba9-9a58-7b6f1978c582,1,Complete,Redisclosure: 0,P-AZC-ElroyCD08,1,7/26/2024 6:07:38 PM,7/26/2024 6:28:17 PM,7/26/2024 6:18:03 PM,,7/26/2024 6:28:17 PM,609,,
62855edb-82ba-4694-a914-f4db90b43ba2,1800cb0e-c4fa-4b0b-b209-61a803639f6d,1,Complete,Conventional;Redisclosure: 2;Run UCD,P-AZC-ElroyCD06,1,7/26/2024 6:23:53 PM,7/26/2024 6:28:13 PM,,,7/26/2024 6:28:13 PM,260,,
5b7782af-12d2-4ad2-ba4b-706206ec1d3a,33578f14-8213-4daa-8349-2ab7a111e648,5,Complete,Redisclosure: 0,P-AZC-ElroyCD11,1,7/26/2024 6:13:42 PM,7/26/2024 6:24:21 PM,,,7/26/2024 6:24:21 PM,614,,
0ca7f1dc-9767-4659-b211-2c02bd19125a,f84c2d53-a64c-45d0-97bf-21314f66958e,3,Exception,[Encompass Dev Connect API] :: [Update Field Values] = [Status Code Not Approved: 409 The remote server returned an error: (409) Conflict.];Exception: [Encompass Dev Connect API] :: [Update Field Values] = [Status Code Not Approved: 409 The remote server returned an error: (409) Conflict.];System Exception,P-AZC-ElroyCD09,1,7/26/2024 6:23:53 PM,7/26/2024 6:24:06 PM,,,,7,7/26/2024 6:24:06 PM,[Encompass Dev Connect API] :: [Update Field Values] = [Status Code Not Approved: 409 The remote server returned an error: (409) Conflict.]
